plot_id,year,plot,block,rot_trt,samp_time,depth,roots_kgha
2020_39,Y2020,39,b3,4y,end,30-45cm,92.17171717171718
2020_39,Y2020,39,b3,4y,end,45-60cm,73.86363636363637
2020_41,Y2020,41,b4,4y,end,0-15cm,322.2853535353536
2020_41,Y2020,41,b4,4y,end,15-30cm,290.71969696969705
2020_41,Y2020,41,b4,4y,end,30-45cm,109.21717171717172
2020_41,Y2020,41,b4,4y,end,45-60cm,70.7070707070707
2020_44,Y2020,44,b4,2y,end,0-15cm,348.4848484848485
2020_44,Y2020,44,b4,2y,end,15-30cm,330.4924242424243
2020_44,Y2020,44,b4,2y,end,30-45cm,178.66161616161617
2020_44,Y2020,44,b4,2y,end,45-60cm,128.78787878787878
