Index	Year	State	County	Cty.num	Corn.Yld.BuAc	Corn.Mg.ha
494	2000	ILLINOIS	KANKAKEE	34	145	9.101
495	2001	ILLINOIS	KANKAKEE	34	139	8.724
496	2002	ILLINOIS	KANKAKEE	34	129	8.097
497	2003	ILLINOIS	KANKAKEE	34	159	9.98
498	2004	ILLINOIS	KANKAKEE	34	179	11.235
499	2005	ILLINOIS	KANKAKEE	34	137	8.599
500	2006	ILLINOIS	KANKAKEE	34	167	10.482
501	2007	ILLINOIS	KANKAKEE	34	179	11.235
502	2008	ILLINOIS	KANKAKEE	34	177	11.109
503	2009	ILLINOIS	KANKAKEE	34	166	10.419
504	2010	ILLINOIS	KANKAKEE	34	149.6	9.39
505	2011	ILLINOIS	KANKAKEE	34	153.3	9.622
506	2012	ILLINOIS	KANKAKEE	34	119.2	7.482
507	2013	ILLINOIS	KANKAKEE	34	172.1	10.802
508	2014	ILLINOIS	KANKAKEE	34	174.3	10.94
509	2000	ILLINOIS	KENDALL	35	150	9.415
510	2001	ILLINOIS	KENDALL	35	133	8.348
511	2002	ILLINOIS	KENDALL	35	114	7.155
512	2003	ILLINOIS	KENDALL	35	171	10.733
513	2004	ILLINOIS	KENDALL	35	182	11.423
514	2005	ILLINOIS	KENDALL	35	110	6.904
515	2006	ILLINOIS	KENDALL	35	184	11.549
516	2007	ILLINOIS	KENDALL	35	183	11.486
517	2008	ILLINOIS	KENDALL	35	176	11.047
518	2009	ILLINOIS	KENDALL	35	179	11.235
519	2010	ILLINOIS	KENDALL	35	168.6	10.582
520	2011	ILLINOIS	KENDALL	35	165.3	10.375
521	2012	ILLINOIS	KENDALL	35	102.4	6.427
522	2013	ILLINOIS	KENDALL	35	182.2	11.436
523	2000	ILLINOIS	KNOX	36	152	9.54
524	2001	ILLINOIS	KNOX	36	166	10.419
525	2002	ILLINOIS	KNOX	36	169	10.607
526	2003	ILLINOIS	KNOX	36	181	11.36
527	2004	ILLINOIS	KNOX	36	194	12.176
528	2005	ILLINOIS	KNOX	36	123	7.72
529	2006	ILLINOIS	KNOX	36	168	10.545
530	2007	ILLINOIS	KNOX	36	194	12.176
531	2008	ILLINOIS	KNOX	36	200	12.553
532	2009	ILLINOIS	KNOX	36	186	11.674
533	2010	ILLINOIS	KNOX	36	159.9	10.036
534	2011	ILLINOIS	KNOX	36	169.5	10.639
535	2012	ILLINOIS	KNOX	36	160.8	10.093
536	2013	ILLINOIS	KNOX	36	191	11.988
537	2014	ILLINOIS	KNOX	36	201.4	12.641
538	2000	ILLINOIS	LA.SALLE	37	152	9.54
539	2001	ILLINOIS	LA.SALLE	37	159	9.98
540	2002	ILLINOIS	LA.SALLE	37	136	8.536
541	2003	ILLINOIS	LA.SALLE	37	162	10.168
542	2004	ILLINOIS	LA.SALLE	37	179	11.235
543	2005	ILLINOIS	LA.SALLE	37	139	8.724
544	2006	ILLINOIS	LA.SALLE	37	182	11.423
545	2007	ILLINOIS	LA.SALLE	37	186	11.674
546	2008	ILLINOIS	LA.SALLE	37	192	12.051
547	2009	ILLINOIS	LA.SALLE	37	183	11.486
548	2010	ILLINOIS	LA.SALLE	37	162.9	10.224
549	2011	ILLINOIS	LA.SALLE	37	177.3	11.128
550	2012	ILLINOIS	LA.SALLE	37	134.8	8.461
551	2013	ILLINOIS	LA.SALLE	37	186.8	11.725
552	2014	ILLINOIS	LA.SALLE	37	197.9	12.421
553	2000	ILLINOIS	LEE	38	152	9.54
554	2001	ILLINOIS	LEE	38	160	10.042
555	2002	ILLINOIS	LEE	38	165	10.356
556	2003	ILLINOIS	LEE	38	152	9.54
557	2004	ILLINOIS	LEE	38	185	11.612
558	2005	ILLINOIS	LEE	38	142	8.913
559	2006	ILLINOIS	LEE	38	188	11.8
560	2007	ILLINOIS	LEE	38	182	11.423
561	2008	ILLINOIS	LEE	38	182	11.423
562	2009	ILLINOIS	LEE	38	168	10.545
563	2010	ILLINOIS	LEE	38	173.6	10.896
564	2011	ILLINOIS	LEE	38	170.9	10.727
565	2012	ILLINOIS	LEE	38	142.3	8.931
566	2013	ILLINOIS	LEE	38	171.3	10.752
567	2014	ILLINOIS	LEE	38	181.6	11.398
568	2000	ILLINOIS	LIVINGSTON	39	147	9.226
569	2001	ILLINOIS	LIVINGSTON	39	145	9.101
570	2002	ILLINOIS	LIVINGSTON	39	137	8.599
571	2003	ILLINOIS	LIVINGSTON	39	168	10.545
572	2004	ILLINOIS	LIVINGSTON	39	181	11.36
573	2005	ILLINOIS	LIVINGSTON	39	145	9.101
574	2006	ILLINOIS	LIVINGSTON	39	176	11.047
575	2007	ILLINOIS	LIVINGSTON	39	189	11.863
576	2008	ILLINOIS	LIVINGSTON	39	187	11.737
577	2009	ILLINOIS	LIVINGSTON	39	184	11.549
578	2010	ILLINOIS	LIVINGSTON	39	166.6	10.457
579	2011	ILLINOIS	LIVINGSTON	39	155.8	9.779
580	2012	ILLINOIS	LIVINGSTON	39	83.3	5.228
581	2013	ILLINOIS	LIVINGSTON	39	179.1	11.241
582	2014	ILLINOIS	LIVINGSTON	39	211.6	13.281
583	2000	ILLINOIS	LOGAN	40	163	10.231
584	2001	ILLINOIS	LOGAN	40	151	9.478
585	2002	ILLINOIS	LOGAN	40	153	9.603
586	2003	ILLINOIS	LOGAN	40	189	11.863
587	2004	ILLINOIS	LOGAN	40	188	11.8
588	2005	ILLINOIS	LOGAN	40	144	9.038
589	2006	ILLINOIS	LOGAN	40	171	10.733
590	2007	ILLINOIS	LOGAN	40	197	12.365
591	2008	ILLINOIS	LOGAN	40	188	11.8
592	2009	ILLINOIS	LOGAN	40	188	11.8
593	2010	ILLINOIS	LOGAN	40	155.7	9.773
594	2011	ILLINOIS	LOGAN	40	173.4	10.883
595	2012	ILLINOIS	LOGAN	40	96.5	6.057
596	2013	ILLINOIS	LOGAN	40	198.1	12.434
597	2014	ILLINOIS	LOGAN	40	230.8	14.486
598	2000	ILLINOIS	MACON	41	172	10.796
599	2001	ILLINOIS	MACON	41	169	10.607
600	2002	ILLINOIS	MACON	41	133	8.348
601	2003	ILLINOIS	MACON	41	188	11.8
602	2004	ILLINOIS	MACON	41	191	11.988
603	2005	ILLINOIS	MACON	41	175	10.984
604	2006	ILLINOIS	MACON	41	179	11.235
605	2007	ILLINOIS	MACON	41	191	11.988
606	2008	ILLINOIS	MACON	41	188	11.8
607	2009	ILLINOIS	MACON	41	192	12.051
608	2010	ILLINOIS	MACON	41	168.5	10.576
609	2011	ILLINOIS	MACON	41	153.2	9.616
610	2012	ILLINOIS	MACON	41	102.8	6.452
611	2013	ILLINOIS	MACON	41	192.7	12.095
612	2014	ILLINOIS	MACON	41	236	14.813
613	2000	ILLINOIS	MACOUPIN	42	170	10.67
614	2001	ILLINOIS	MACOUPIN	42	146	9.164
615	2002	ILLINOIS	MACOUPIN	42	143	8.975
616	2003	ILLINOIS	MACOUPIN	42	169	10.607
617	2004	ILLINOIS	MACOUPIN	42	189	11.863
618	2005	ILLINOIS	MACOUPIN	42	153	9.603
619	2006	ILLINOIS	MACOUPIN	42	144	9.038
620	2007	ILLINOIS	MACOUPIN	42	157	9.854
621	2008	ILLINOIS	MACOUPIN	42	157	9.854
622	2009	ILLINOIS	MACOUPIN	42	166	10.419
623	2010	ILLINOIS	MACOUPIN	42	146.9	9.22
624	2011	ILLINOIS	MACOUPIN	42	131.1	8.228
625	2012	ILLINOIS	MACOUPIN	42	85.7	5.379
626	2013	ILLINOIS	MACOUPIN	42	170.5	10.701
627	2014	ILLINOIS	MACOUPIN	42	199.5	12.522
628	2000	ILLINOIS	MADISON	43	155	9.729
629	2001	ILLINOIS	MADISON	43	145	9.101
630	2002	ILLINOIS	MADISON	43	128	8.034
631	2003	ILLINOIS	MADISON	43	148	9.289
632	2004	ILLINOIS	MADISON	43	163	10.231
633	2005	ILLINOIS	MADISON	43	136	8.536
634	2006	ILLINOIS	MADISON	43	112	7.03
635	2007	ILLINOIS	MADISON	43	127	7.971
636	2008	ILLINOIS	MADISON	43	155	9.729
637	2009	ILLINOIS	MADISON	43	166	10.419
638	2010	ILLINOIS	MADISON	43	166.3	10.438
639	2011	ILLINOIS	MADISON	43	118.6	7.444
640	2012	ILLINOIS	MADISON	43	54.8	3.44
641	2013	ILLINOIS	MADISON	43	164.4	10.319
642	2014	ILLINOIS	MADISON	43	191.6	12.026
643	2000	ILLINOIS	MARION	44	131	8.222
644	2001	ILLINOIS	MARION	44	143	8.975
645	2002	ILLINOIS	MARION	44	88	5.523
646	2003	ILLINOIS	MARION	44	98	6.151
647	2004	ILLINOIS	MARION	44	158	9.917
648	2005	ILLINOIS	MARION	44	129	8.097
649	2006	ILLINOIS	MARION	44	117	7.344
650	2007	ILLINOIS	MARION	44	133	8.348
651	2008	ILLINOIS	MARION	44	148	9.289
652	2009	ILLINOIS	MARION	44	147	9.226
653	2010	ILLINOIS	MARION	44	149.7	9.396
654	2011	ILLINOIS	MARION	44	139.1	8.731
655	2012	ILLINOIS	MARION	44	19	1.193
656	2013	ILLINOIS	MARION	44	159.7	10.024
657	2014	ILLINOIS	MARION	44	183.8	11.536
658	2000	ILLINOIS	MARSHALL	45	155	9.729
659	2001	ILLINOIS	MARSHALL	45	158	9.917
660	2002	ILLINOIS	MARSHALL	45	146	9.164
661	2003	ILLINOIS	MARSHALL	45	173	10.858
662	2004	ILLINOIS	MARSHALL	45	183	11.486
663	2005	ILLINOIS	MARSHALL	45	142	8.913
664	2006	ILLINOIS	MARSHALL	45	174	10.921
665	2007	ILLINOIS	MARSHALL	45	189	11.863
666	2008	ILLINOIS	MARSHALL	45	197	12.365
667	2009	ILLINOIS	MARSHALL	45	172	10.796
668	2010	ILLINOIS	MARSHALL	45	163.3	10.25
669	2011	ILLINOIS	MARSHALL	45	178.4	11.197
670	2012	ILLINOIS	MARSHALL	45	123.9	7.777
671	2013	ILLINOIS	MARSHALL	45	191.2	12.001
672	2014	ILLINOIS	MARSHALL	45	207.3	13.011
673	2000	ILLINOIS	MASON	46	149	9.352
674	2001	ILLINOIS	MASON	46	134	8.411
675	2002	ILLINOIS	MASON	46	139	8.724
676	2003	ILLINOIS	MASON	46	175	10.984
677	2004	ILLINOIS	MASON	46	179	11.235
678	2005	ILLINOIS	MASON	46	123	7.72
679	2006	ILLINOIS	MASON	46	155	9.729
680	2007	ILLINOIS	MASON	46	178	11.172
681	2008	ILLINOIS	MASON	46	182	11.423
682	2009	ILLINOIS	MASON	46	165	10.356
683	2010	ILLINOIS	MASON	46	141	8.85
684	2011	ILLINOIS	MASON	46	142.7	8.957
685	2012	ILLINOIS	MASON	46	110.2	6.917
686	2013	ILLINOIS	MASON	46	163.3	10.25
687	2014	ILLINOIS	MASON	46	195.7	12.283
688	2000	ILLINOIS	MASSAC	47	121	7.595
689	2001	ILLINOIS	MASSAC	47	138	8.662
690	2002	ILLINOIS	MASSAC	47	67	4.205
691	2003	ILLINOIS	MASSAC	47	116	7.281
692	2004	ILLINOIS	MASSAC	47	133	8.348
693	2005	ILLINOIS	MASSAC	47	139	8.724
694	2006	ILLINOIS	MASSAC	47	130	8.159
695	2007	ILLINOIS	MASSAC	47	159	9.98
696	2008	ILLINOIS	MASSAC	47	148	9.289
697	2009	ILLINOIS	MASSAC	47	153	9.603
698	2010	ILLINOIS	MASSAC	47	126	7.908
699	2011	ILLINOIS	MASSAC	47	129.3	8.116
700	2013	ILLINOIS	MASSAC	47	170.7	10.714
701	2014	ILLINOIS	MASSAC	47	163.2	10.243
702	2000	ILLINOIS	MCDONOUGH	48	160	10.042
703	2001	ILLINOIS	MCDONOUGH	48	169	10.607
704	2002	ILLINOIS	MCDONOUGH	48	165	10.356
705	2003	ILLINOIS	MCDONOUGH	48	179	11.235
706	2004	ILLINOIS	MCDONOUGH	48	198	12.427
707	2005	ILLINOIS	MCDONOUGH	48	160	10.042
708	2006	ILLINOIS	MCDONOUGH	48	174	10.921
709	2007	ILLINOIS	MCDONOUGH	48	193	12.114
710	2008	ILLINOIS	MCDONOUGH	48	206	12.93
711	2009	ILLINOIS	MCDONOUGH	48	188	11.8
712	2010	ILLINOIS	MCDONOUGH	48	141.8	8.9
713	2011	ILLINOIS	MCDONOUGH	48	166.9	10.475
714	2012	ILLINOIS	MCDONOUGH	48	139	8.724
715	2013	ILLINOIS	MCDONOUGH	48	187.8	11.787
716	2014	ILLINOIS	MCDONOUGH	48	211.6	13.281
717	2000	ILLINOIS	MCHENRY	49	138	8.662
718	2001	ILLINOIS	MCHENRY	49	135	8.473
719	2002	ILLINOIS	MCHENRY	49	102	6.402
720	2003	ILLINOIS	MCHENRY	49	145	9.101
721	2004	ILLINOIS	MCHENRY	49	157	9.854
722	2005	ILLINOIS	MCHENRY	49	117	7.344
723	2006	ILLINOIS	MCHENRY	49	170	10.67
724	2007	ILLINOIS	MCHENRY	49	177	11.109
725	2008	ILLINOIS	MCHENRY	49	158	9.917
726	2009	ILLINOIS	MCHENRY	49	143	8.975
727	2010	ILLINOIS	MCHENRY	49	171.4	10.758
728	2011	ILLINOIS	MCHENRY	49	175.7	11.028
729	2012	ILLINOIS	MCHENRY	49	124.4	7.808
730	2013	ILLINOIS	MCHENRY	49	160.6	10.08
731	2014	ILLINOIS	MCHENRY	49	184.3	11.568
732	2000	ILLINOIS	MCLEAN	50	155	9.729
733	2001	ILLINOIS	MCLEAN	50	158	9.917
734	2002	ILLINOIS	MCLEAN	50	144	9.038
735	2003	ILLINOIS	MCLEAN	50	182	11.423
736	2004	ILLINOIS	MCLEAN	50	185	11.612
737	2005	ILLINOIS	MCLEAN	50	161	10.105
738	2006	ILLINOIS	MCLEAN	50	182	11.423
739	2007	ILLINOIS	MCLEAN	50	196	12.302
740	2008	ILLINOIS	MCLEAN	50	190	11.925
741	2009	ILLINOIS	MCLEAN	50	186	11.674
742	2010	ILLINOIS	MCLEAN	50	169.5	10.639
743	2011	ILLINOIS	MCLEAN	50	159.6	10.017
744	2012	ILLINOIS	MCLEAN	50	109.5	6.873
745	2013	ILLINOIS	MCLEAN	50	188.6	11.837
746	2014	ILLINOIS	MCLEAN	50	218.3	13.702
747	2000	ILLINOIS	MERCER	51	148	9.289
748	2001	ILLINOIS	MERCER	51	158	9.917
749	2002	ILLINOIS	MERCER	51	174	10.921
750	2003	ILLINOIS	MERCER	51	176	11.047
751	2004	ILLINOIS	MERCER	51	183	11.486
752	2005	ILLINOIS	MERCER	51	155	9.729
753	2006	ILLINOIS	MERCER	51	170	10.67
754	2007	ILLINOIS	MERCER	51	192	12.051
755	2008	ILLINOIS	MERCER	51	192	12.051
756	2009	ILLINOIS	MERCER	51	176	11.047
757	2010	ILLINOIS	MERCER	51	142.4	8.938
758	2011	ILLINOIS	MERCER	51	161.9	10.162
759	2012	ILLINOIS	MERCER	51	180.1	11.304
760	2013	ILLINOIS	MERCER	51	177.1	11.116
761	2014	ILLINOIS	MERCER	51	193.5	12.145
762	2000	ILLINOIS	MONROE	52	158	9.917
763	2001	ILLINOIS	MONROE	52	148	9.289
764	2002	ILLINOIS	MONROE	52	75	4.707
765	2003	ILLINOIS	MONROE	52	131	8.222
766	2004	ILLINOIS	MONROE	52	181	11.36
767	2005	ILLINOIS	MONROE	52	130	8.159
768	2006	ILLINOIS	MONROE	52	113	7.092
769	2007	ILLINOIS	MONROE	52	128	8.034
770	2008	ILLINOIS	MONROE	52	159	9.98
771	2009	ILLINOIS	MONROE	52	160	10.042
772	2010	ILLINOIS	MONROE	52	143.6	9.013
773	2011	ILLINOIS	MONROE	52	117.4	7.369
774	2012	ILLINOIS	MONROE	52	69.6	4.368
775	2013	ILLINOIS	MONROE	52	147	9.226
776	2014	ILLINOIS	MONROE	52	181.4	11.386
777	2000	ILLINOIS	MONTGOMERY	53	173	10.858
778	2001	ILLINOIS	MONTGOMERY	53	152	9.54
779	2002	ILLINOIS	MONTGOMERY	53	126	7.908
780	2003	ILLINOIS	MONTGOMERY	53	169	10.607
781	2004	ILLINOIS	MONTGOMERY	53	181	11.36
782	2005	ILLINOIS	MONTGOMERY	53	159	9.98
783	2006	ILLINOIS	MONTGOMERY	53	139	8.724
784	2007	ILLINOIS	MONTGOMERY	53	154	9.666
785	2008	ILLINOIS	MONTGOMERY	53	181	11.36
786	2009	ILLINOIS	MONTGOMERY	53	168	10.545
787	2010	ILLINOIS	MONTGOMERY	53	156.3	9.81
788	2011	ILLINOIS	MONTGOMERY	53	138.6	8.699
789	2012	ILLINOIS	MONTGOMERY	53	73.2	4.594
790	2013	ILLINOIS	MONTGOMERY	53	182.9	11.48
791	2014	ILLINOIS	MONTGOMERY	53	205.1	12.873
792	2000	ILLINOIS	MORGAN	54	168	10.545
793	2001	ILLINOIS	MORGAN	54	160	10.042
794	2002	ILLINOIS	MORGAN	54	160	10.042
795	2003	ILLINOIS	MORGAN	54	191	11.988
796	2004	ILLINOIS	MORGAN	54	200	12.553
797	2005	ILLINOIS	MORGAN	54	146	9.164
798	2006	ILLINOIS	MORGAN	54	171	10.733
799	2007	ILLINOIS	MORGAN	54	186	11.674
800	2008	ILLINOIS	MORGAN	54	190	11.925
801	2009	ILLINOIS	MORGAN	54	187	11.737
802	2010	ILLINOIS	MORGAN	54	146.5	9.195
803	2011	ILLINOIS	MORGAN	54	157.2	9.867
804	2012	ILLINOIS	MORGAN	54	112.4	7.055
805	2013	ILLINOIS	MORGAN	54	191.2	12.001
806	2014	ILLINOIS	MORGAN	54	223.3	14.015
807	2000	ILLINOIS	MOULTRIE	55	173	10.858
808	2001	ILLINOIS	MOULTRIE	55	175	10.984
809	2002	ILLINOIS	MOULTRIE	55	132	8.285
810	2003	ILLINOIS	MOULTRIE	55	169	10.607
811	2004	ILLINOIS	MOULTRIE	55	179	11.235
812	2005	ILLINOIS	MOULTRIE	55	172	10.796
813	2006	ILLINOIS	MOULTRIE	55	173	10.858
814	2007	ILLINOIS	MOULTRIE	55	191	11.988
815	2008	ILLINOIS	MOULTRIE	55	174	10.921
816	2009	ILLINOIS	MOULTRIE	55	179	11.235
817	2010	ILLINOIS	MOULTRIE	55	175.1	10.99
818	2011	ILLINOIS	MOULTRIE	55	156.3	9.81
819	2012	ILLINOIS	MOULTRIE	55	115.1	7.224
820	2013	ILLINOIS	MOULTRIE	55	181.1	11.367
821	2014	ILLINOIS	MOULTRIE	55	223.3	14.015
822	2000	ILLINOIS	OGLE	56	154	9.666
823	2001	ILLINOIS	OGLE	56	150	9.415
824	2002	ILLINOIS	OGLE	56	151	9.478
825	2003	ILLINOIS	OGLE	56	158	9.917
826	2004	ILLINOIS	OGLE	56	184	11.549
827	2005	ILLINOIS	OGLE	56	139	8.724
828	2006	ILLINOIS	OGLE	56	179	11.235
829	2007	ILLINOIS	OGLE	56	189	11.863
830	2008	ILLINOIS	OGLE	56	184	11.549
831	2009	ILLINOIS	OGLE	56	167	10.482
832	2010	ILLINOIS	OGLE	56	183.4	11.511
833	2011	ILLINOIS	OGLE	56	179.5	11.266
834	2012	ILLINOIS	OGLE	56	142.9	8.969
835	2013	ILLINOIS	OGLE	56	189.6	11.9
836	2014	ILLINOIS	OGLE	56	193.4	12.139
837	2000	ILLINOIS	PEORIA	57	151	9.478
838	2001	ILLINOIS	PEORIA	57	162	10.168
839	2002	ILLINOIS	PEORIA	57	161	10.105
840	2003	ILLINOIS	PEORIA	57	177	11.109
841	2004	ILLINOIS	PEORIA	57	192	12.051
842	2005	ILLINOIS	PEORIA	57	119	7.469
843	2006	ILLINOIS	PEORIA	57	171	10.733
844	2007	ILLINOIS	PEORIA	57	188	11.8
845	2008	ILLINOIS	PEORIA	57	201	12.616
846	2009	ILLINOIS	PEORIA	57	176	11.047
847	2010	ILLINOIS	PEORIA	57	157.6	9.892
848	2011	ILLINOIS	PEORIA	57	168.9	10.601
849	2012	ILLINOIS	PEORIA	57	161.9	10.162
850	2013	ILLINOIS	PEORIA	57	180.5	11.329
851	2014	ILLINOIS	PEORIA	57	208.1	13.061
852	2000	ILLINOIS	PERRY	58	114	7.155
853	2001	ILLINOIS	PERRY	58	132	8.285
854	2002	ILLINOIS	PERRY	58	54	3.389
855	2003	ILLINOIS	PERRY	58	77	4.833
856	2004	ILLINOIS	PERRY	58	134	8.411
857	2005	ILLINOIS	PERRY	58	119	7.469
858	2006	ILLINOIS	PERRY	58	111	6.967
859	2007	ILLINOIS	PERRY	58	79	4.958
860	2008	ILLINOIS	PERRY	58	146	9.164
861	2009	ILLINOIS	PERRY	58	142	8.913
862	2010	ILLINOIS	PERRY	58	117.6	7.381
863	2011	ILLINOIS	PERRY	58	115.6	7.256
864	2012	ILLINOIS	PERRY	58	23.3	1.462
865	2013	ILLINOIS	PERRY	58	136.1	8.542
866	2014	ILLINOIS	PERRY	58	146.1	9.17
867	2000	ILLINOIS	PIATT	59	166	10.419
868	2001	ILLINOIS	PIATT	59	170	10.67
869	2002	ILLINOIS	PIATT	59	128	8.034
870	2003	ILLINOIS	PIATT	59	185	11.612
871	2004	ILLINOIS	PIATT	59	191	11.988
872	2005	ILLINOIS	PIATT	59	171	10.733
873	2006	ILLINOIS	PIATT	59	182	11.423
874	2007	ILLINOIS	PIATT	59	190	11.925
875	2008	ILLINOIS	PIATT	59	172	10.796
876	2009	ILLINOIS	PIATT	59	183	11.486
877	2010	ILLINOIS	PIATT	59	164.5	10.325
878	2011	ILLINOIS	PIATT	59	157.1	9.86
879	2012	ILLINOIS	PIATT	59	130.8	8.21
880	2013	ILLINOIS	PIATT	59	187.4	11.762
881	2014	ILLINOIS	PIATT	59	235.2	14.762
882	2000	ILLINOIS	PIKE	60	174	10.921
883	2001	ILLINOIS	PIKE	60	156	9.791
884	2002	ILLINOIS	PIKE	60	128	8.034
885	2003	ILLINOIS	PIKE	60	164	10.293
886	2004	ILLINOIS	PIKE	60	187	11.737
887	2005	ILLINOIS	PIKE	60	137	8.599
888	2006	ILLINOIS	PIKE	60	160	10.042
889	2007	ILLINOIS	PIKE	60	156	9.791
890	2008	ILLINOIS	PIKE	60	155	9.729
891	2009	ILLINOIS	PIKE	60	169	10.607
892	2010	ILLINOIS	PIKE	60	137.5	8.63
893	2011	ILLINOIS	PIKE	60	150.7	9.459
894	2012	ILLINOIS	PIKE	60	90.5	5.68
895	2013	ILLINOIS	PIKE	60	164.3	10.312
896	2014	ILLINOIS	PIKE	60	199.5	12.522
897	2000	ILLINOIS	PULASKI	61	120	7.532
898	2001	ILLINOIS	PULASKI	61	142	8.913
899	2002	ILLINOIS	PULASKI	61	88	5.523
900	2003	ILLINOIS	PULASKI	61	123	7.72
901	2004	ILLINOIS	PULASKI	61	163	10.231
902	2005	ILLINOIS	PULASKI	61	138	8.662
903	2006	ILLINOIS	PULASKI	61	141	8.85
904	2007	ILLINOIS	PULASKI	61	170	10.67
905	2008	ILLINOIS	PULASKI	61	149	9.352
906	2009	ILLINOIS	PULASKI	61	156	9.791
907	2010	ILLINOIS	PULASKI	61	136.5	8.567
908	2011	ILLINOIS	PULASKI	61	137.9	8.655
909	2012	ILLINOIS	PULASKI	61	64.4	4.042
910	2013	ILLINOIS	PULASKI	61	169.9	10.664
911	2014	ILLINOIS	PULASKI	61	177.7	11.153
912	2000	ILLINOIS	RICHLAND	62	131	8.222
913	2001	ILLINOIS	RICHLAND	62	128	8.034
914	2002	ILLINOIS	RICHLAND	62	87	5.461
915	2003	ILLINOIS	RICHLAND	62	117	7.344
916	2004	ILLINOIS	RICHLAND	62	155	9.729
917	2005	ILLINOIS	RICHLAND	62	109	6.841
918	2006	ILLINOIS	RICHLAND	62	126	7.908
919	2007	ILLINOIS	RICHLAND	62	110	6.904
920	2008	ILLINOIS	RICHLAND	62	143	8.975
921	2009	ILLINOIS	RICHLAND	62	141	8.85
922	2010	ILLINOIS	RICHLAND	62	144.3	9.057
923	2011	ILLINOIS	RICHLAND	62	128.3	8.053
924	2012	ILLINOIS	RICHLAND	62	26.5	1.663
925	2013	ILLINOIS	RICHLAND	62	147.7	9.27
926	2014	ILLINOIS	RICHLAND	62	181.1	11.367
927	2000	ILLINOIS	SALINE	63	125	7.846
928	2001	ILLINOIS	SALINE	63	139	8.724
929	2002	ILLINOIS	SALINE	63	60	3.766
930	2003	ILLINOIS	SALINE	63	112	7.03
931	2004	ILLINOIS	SALINE	63	157	9.854
932	2005	ILLINOIS	SALINE	63	139	8.724
933	2006	ILLINOIS	SALINE	63	150	9.415
934	2007	ILLINOIS	SALINE	63	126	7.908
935	2008	ILLINOIS	SALINE	63	153	9.603
936	2009	ILLINOIS	SALINE	63	163	10.231
937	2010	ILLINOIS	SALINE	63	133.3	8.367
938	2011	ILLINOIS	SALINE	63	132.3	8.304
939	2012	ILLINOIS	SALINE	63	50	3.138
940	2013	ILLINOIS	SALINE	63	171.3	10.752
941	2014	ILLINOIS	SALINE	63	176.7	11.091
942	2000	ILLINOIS	SANGAMON	64	174	10.921
943	2001	ILLINOIS	SANGAMON	64	161	10.105
944	2002	ILLINOIS	SANGAMON	64	152	9.54
945	2003	ILLINOIS	SANGAMON	64	194	12.176
946	2004	ILLINOIS	SANGAMON	64	192	12.051
947	2005	ILLINOIS	SANGAMON	64	169	10.607
948	2006	ILLINOIS	SANGAMON	64	174	10.921
949	2007	ILLINOIS	SANGAMON	64	199	12.49
950	2008	ILLINOIS	SANGAMON	64	184	11.549
951	2009	ILLINOIS	SANGAMON	64	189	11.863
952	2010	ILLINOIS	SANGAMON	64	154.5	9.697
953	2011	ILLINOIS	SANGAMON	64	165.7	10.4
954	2012	ILLINOIS	SANGAMON	64	131.3	8.241
955	2013	ILLINOIS	SANGAMON	64	198.2	12.44
956	2014	ILLINOIS	SANGAMON	64	226.8	14.235
957	2000	ILLINOIS	SCHUYLER	65	159	9.98
958	2001	ILLINOIS	SCHUYLER	65	155	9.729
959	2002	ILLINOIS	SCHUYLER	65	142	8.913
960	2003	ILLINOIS	SCHUYLER	65	171	10.733
961	2004	ILLINOIS	SCHUYLER	65	191	11.988
962	2005	ILLINOIS	SCHUYLER	65	135	8.473
963	2006	ILLINOIS	SCHUYLER	65	140	8.787
964	2007	ILLINOIS	SCHUYLER	65	174	10.921
965	2008	ILLINOIS	SCHUYLER	65	184	11.549
966	2009	ILLINOIS	SCHUYLER	65	175	10.984
967	2010	ILLINOIS	SCHUYLER	65	129.7	8.141
968	2011	ILLINOIS	SCHUYLER	65	144.6	9.076
969	2012	ILLINOIS	SCHUYLER	65	75.9	4.764
970	2013	ILLINOIS	SCHUYLER	65	169	10.607
971	2014	ILLINOIS	SCHUYLER	65	204.1	12.81
972	2000	ILLINOIS	SCOTT	66	162	10.168
973	2001	ILLINOIS	SCOTT	66	149	9.352
974	2002	ILLINOIS	SCOTT	66	135	8.473
975	2003	ILLINOIS	SCOTT	66	182	11.423
976	2004	ILLINOIS	SCOTT	66	195	12.239
977	2005	ILLINOIS	SCOTT	66	129	8.097
978	2006	ILLINOIS	SCOTT	66	167	10.482
979	2007	ILLINOIS	SCOTT	66	169	10.607
980	2008	ILLINOIS	SCOTT	66	155	9.729
981	2009	ILLINOIS	SCOTT	66	185	11.612
982	2010	ILLINOIS	SCOTT	66	139.5	8.756
983	2011	ILLINOIS	SCOTT	66	145.4	9.126
984	2012	ILLINOIS	SCOTT	66	117.3	7.362
985	2013	ILLINOIS	SCOTT	66	168.2	10.557
986	2014	ILLINOIS	SCOTT	66	201.7	12.66
987	2000	ILLINOIS	SHELBY	67	163	10.231
988	2001	ILLINOIS	SHELBY	67	144	9.038
989	2002	ILLINOIS	SHELBY	67	113	7.092
990	2003	ILLINOIS	SHELBY	67	160	10.042
991	2004	ILLINOIS	SHELBY	67	175	10.984
992	2005	ILLINOIS	SHELBY	67	149	9.352
993	2006	ILLINOIS	SHELBY	67	147	9.226
994	2007	ILLINOIS	SHELBY	67	181	11.36
