year,doy,block,plot_id,rep_id,rot_trt,harv_crop,depth_cm,resis_kpa
2020,175,b1,2020_13,2020_13-7,2y,C2,35,1138
2020,175,b1,2020_13,2020_13-7,2y,C2,37.5,1104
2020,175,b1,2020_13,2020_13-8,2y,C2,0,104
2020,175,b1,2020_13,2020_13-8,2y,C2,2.5,414
2020,175,b1,2020_13,2020_13-8,2y,C2,5,586
2020,175,b1,2020_13,2020_13-8,2y,C2,7.5,1208
2020,175,b1,2020_13,2020_13-8,2y,C2,10,1070
2020,175,b1,2020_13,2020_13-8,2y,C2,12.5,1173
2020,175,b1,2020_13,2020_13-8,2y,C2,15,1138
2020,175,b1,2020_13,2020_13-8,2y,C2,17.5,1346
2020,175,b1,2020_13,2020_13-8,2y,C2,20,1276
2020,175,b1,2020_13,2020_13-8,2y,C2,22.5,1104
2020,175,b1,2020_13,2020_13-8,2y,C2,25,1104
2020,175,b1,2020_13,2020_13-8,2y,C2,27.5,1208
2020,175,b1,2020_13,2020_13-8,2y,C2,30,1346
2020,175,b1,2020_13,2020_13-8,2y,C2,32.5,1311
2020,175,b1,2020_13,2020_13-8,2y,C2,35,1311
2020,175,b1,2020_13,2020_13-8,2y,C2,37.5,1346
2020,175,b1,2020_13,2020_13-8,2y,C2,40,4209
2020,175,b1,2020_13,2020_13-9,2y,C2,0,0
2020,175,b1,2020_13,2020_13-9,2y,C2,2.5,104
2020,175,b1,2020_13,2020_13-9,2y,C2,5,172
2020,175,b1,2020_13,2020_13-9,2y,C2,7.5,242
2020,175,b1,2020_13,2020_13-9,2y,C2,10,1311
2020,175,b1,2020_13,2020_13-9,2y,C2,12.5,2036
2020,175,b1,2020_13,2020_13-9,2y,C2,15,3174
2020,175,b1,2020_13,2020_13-9,2y,C2,17.5,3381
2020,175,b1,2020_13,2020_13-9,2y,C2,22.5,3416
2020,175,b1,2020_13,2020_13-9,2y,C2,25,3864
2020,175,b1,2020_13,2020_13-9,2y,C2,27.5,3140
2020,175,b1,2020_13,2020_13-9,2y,C2,30,3312
2020,175,b1,2020_13,2020_13-9,2y,C2,32.5,2622
2020,175,b1,2020_13,2020_13-9,2y,C2,35,2656
2020,175,b1,2020_13,2020_13-9,2y,C2,37.5,2036
2020,175,b1,2020_13,2020_13-9,2y,C2,40,2277
2020,175,b1,2020_13,2020_13-9,2y,C2,42.5,2174
2020,175,b1,2020_17,2020_17-1,4y,C4,0,34
2020,175,b1,2020_17,2020_17-1,4y,C4,2.5,69
2020,175,b1,2020_17,2020_17-1,4y,C4,5,69
2020,175,b1,2020_17,2020_17-1,4y,C4,7.5,1138
2020,175,b1,2020_17,2020_17-1,4y,C4,10,2553
2020,175,b1,2020_17,2020_17-1,4y,C4,12.5,414
2020,175,b1,2020_17,2020_17-1,4y,C4,15,2450
2020,175,b1,2020_17,2020_17-1,4y,C4,17.5,3070
2020,175,b1,2020_17,2020_17-1,4y,C4,20,3381
2020,175,b1,2020_17,2020_17-1,4y,C4,22.5,2450
2020,175,b1,2020_17,2020_17-1,4y,C4,25,2656
2020,175,b1,2020_17,2020_17-10,4y,C4,0,380
2020,175,b1,2020_17,2020_17-10,4y,C4,2.5,380
2020,175,b1,2020_17,2020_17-10,4y,C4,5,552
2020,175,b1,2020_17,2020_17-10,4y,C4,7.5,1104
2020,175,b1,2020_17,2020_17-10,4y,C4,10,1208
2020,175,b1,2020_17,2020_17-10,4y,C4,12.5,1346
2020,175,b1,2020_17,2020_17-10,4y,C4,15,3278
2020,175,b1,2020_17,2020_17-10,4y,C4,17.5,4209
2020,175,b1,2020_17,2020_17-10,4y,C4,20,3174
2020,175,b1,2020_17,2020_17-10,4y,C4,22.5,4312
2020,175,b1,2020_17,2020_17-10,4y,C4,25,4244
2020,175,b1,2020_17,2020_17-10,4y,C4,27.5,4140
2020,175,b1,2020_17,2020_17-10,4y,C4,30,3484
2020,175,b1,2020_17,2020_17-10,4y,C4,32.5,3002
2020,175,b1,2020_17,2020_17-10,4y,C4,35,2691
2020,175,b1,2020_17,2020_17-10,4y,C4,37.5,2829
2020,175,b1,2020_17,2020_17-2,4y,C4,0,69
2020,175,b1,2020_17,2020_17-2,4y,C4,2.5,104
2020,175,b1,2020_17,2020_17-2,4y,C4,5,207
2020,175,b1,2020_17,2020_17-2,4y,C4,7.5,483
2020,175,b1,2020_17,2020_17-2,4y,C4,10,586
2020,175,b1,2020_17,2020_17-2,4y,C4,12.5,759
2020,175,b1,2020_17,2020_17-2,4y,C4,15,448
2020,175,b1,2020_17,2020_17-2,4y,C4,17.5,138
2020,175,b1,2020_17,2020_17-2,4y,C4,20,276
2020,175,b1,2020_17,2020_17-2,4y,C4,22.5,483
2020,175,b1,2020_17,2020_17-2,4y,C4,25,621
2020,175,b1,2020_17,2020_17-2,4y,C4,27.5,1484
2020,175,b1,2020_17,2020_17-2,4y,C4,30,3070
2020,175,b1,2020_17,2020_17-2,4y,C4,32.5,3312
2020,175,b1,2020_17,2020_17-2,4y,C4,35,2967
2020,175,b1,2020_17,2020_17-2,4y,C4,37.5,2829
2020,175,b1,2020_17,2020_17-2,4y,C4,40,2864
2020,175,b1,2020_17,2020_17-2,4y,C4,42.5,2967
2020,175,b1,2020_17,2020_17-3,4y,C4,0,242
2020,175,b1,2020_17,2020_17-3,4y,C4,2.5,242
2020,175,b1,2020_17,2020_17-3,4y,C4,5,310
2020,175,b1,2020_17,2020_17-3,4y,C4,7.5,380
2020,175,b1,2020_17,2020_17-3,4y,C4,10,552
2020,175,b1,2020_17,2020_17-3,4y,C4,12.5,1138
2020,175,b1,2020_17,2020_17-3,4y,C4,15,1242
2020,175,b1,2020_17,2020_17-3,4y,C4,17.5,2139
2020,175,b1,2020_17,2020_17-3,4y,C4,20,2588
2020,175,b1,2020_17,2020_17-3,4y,C4,22.5,2588
